Photometry,Sector,Likelihood,Log S0,Log Q,Log w0,Inc - S0,Inc + S0,Inc - Q,Inc + Q,Inc - w0,Inc + w0,RMS
TESS_18_0,All,-142358.90498143825,12.586911781952514,0.11458165627889418,5.571613248239437,0.03658258843654316,0.03769726792771877,0.025896461831837428,0.02561058424855671,0.008730440339322243,0.00857103806799664,99.69426783760758
TESS_18_1,All,-145339.89875982355,8.883048245968093,3.1119807943468807,5.754013930917953,0.02114249710097127,0.021715552826076845,0.0748925512602363,0.0822861167940605,0.0017115728260348462,0.0016856403581329005,242.03077702358294
TESS_18_19,All,315081.8368369743,-21.05731958037769,2.1507806928833917,5.764505681574624,0.014602954229676612,0.014911552582233867,0.031440997553571215,0.03252620626433167,0.0016791067598065368,0.0017037142818114859,3.8575409262721805e-05
TESS_18_19,Sector1,116041.27549069325,-21.748925765331116,2.8786058884407724,5.757228144168549,0.02328501404571881,0.023729098973387153,0.07106573195833743,0.07531001846004459,0.0019433875065244521,0.001961138217716041,4.289213734318538e-05
TESS_18_19,Sector2,88085.14092142029,-20.880148986144192,1.9623931555721685,5.766474022080796,0.027146502500546177,0.026973813592551465,0.05432835136868741,0.056722555738746294,0.003562422301332191,0.0035406916667248822,3.603415733900955e-05
TESS_18_19,Sector3,111674.88911661721,-20.6184585922466,1.6869642735469352,5.773897970327229,0.024182589836605928,0.02372765853168346,0.043370245693098,0.04488327135449599,0.0035687127943520025,0.003538490842029063,3.420156528775471e-05
TESS_18_2,All,-126536.32332483506,10.034608999263373,1.9845409975017632,5.746049032462861,0.025429944600052323,0.02519060561570008,0.05068081255815193,0.05368197924686835,0.0032579933646230685,0.0032518024041277016,212.45328589593788
TESS_19,All,-139890.7925820614,9.87135069638293,2.073424217938819,5.7663960325007,0.02612730001456498,0.026712757527951325,0.051706121967247665,0.052394243665994544,0.0029453113765933736,0.00301639646847196,222.92919134591355
TESS_20_0,All,-143882.35531887892,8.85767498279683,2.9869482664927514,5.743848953800798,0.022155854673471254,0.022224279580582262,0.07325832433161406,0.07840727015786308,0.0017951337066186568,0.0017892689669354311,239.95142981635203
TESS_20_0,Sector1,-68191.02370194122,8.89930348310988,2.9638902686504887,5.745124555530326,0.03199559979560185,0.031543780408473054,0.1045356467531442,0.11192109145197904,0.002690461663219068,0.0027101755339966616,238.66960539769104
TESS_20_0,Sector2,-75688.59716872286,8.82192153494962,3.010459507053734,5.742808183047548,0.02901894813044592,0.02986365600101415,0.09842257759072659,0.11040756043409283,0.0024878864232222853,0.00243332717893896,236.8060119866102
TESS_20_1,All,-144512.85616579792,9.04108744605665,2.807812026784032,5.734413107781208,0.02273253538130504,0.02304859453182928,0.06732472457379535,0.07009989743147971,0.0020169540292664934,0.0020276672520065375,243.10047850827576
TESS_20_1,Sector1,-70858.64200372799,8.67522807807704,3.1798123946000674,5.734922823634216,0.029535699274784832,0.029177272447972413,0.11149186904293007,0.12444607007049413,0.002308664341621025,0.002357772692288762,232.90999017348375
TESS_20_1,Sector2,-73489.4226835506,9.475304004914399,2.3799029356419332,5.735717759540313,0.0349321549648014,0.03526122412183064,0.08023525204366155,0.08589309911131604,0.0034765444206854568,0.0034846790954468077,243.18570256915586
TESS_21,All,-144551.22976468396,10.390453173926211,1.3477254606499414,5.765349172552353,0.026494358933430107,0.025645238199640374,0.0383350164419336,0.038419291557931556,0.004309986251807452,0.004203042320493289,189.2322590660253
TESS_21,Sector1,-70129.05694640063,8.924610285134904,2.826670759833707,5.737634543616087,0.03357264818663275,0.034822924349787954,0.09707028306461396,0.10427817630922043,0.0028529951287010746,0.0028362733228997072,250.0845888158527
TESS_21,Sector2,-72993.01199920198,11.078815199582888,0.6404804734362924,5.801044318102082,0.039681950905285035,0.03958951843882019,0.038647468084156866,0.03951835047606522,0.008573923390541971,0.008211056665485827,132.05181846243968
