,RV_times,GP,GP,GP,Vandal,Vandal,Lag2019_M2,Lag2019_M2,Lag2019_M5,Lag2019_M5,Lag2020,Lag2020
,,Offset,Inc -,Inc +,Offset,Inc,Offset,Inc,Offset,Inc,Offset,Inc
0,544.4,-79.16527913017342,14.84486081441473,15.011776925895632,-76.74,16.72,-79.5,34.4,-93.87899999999999,9.284,-79.0,34.0
1,780.71,-62.22084066970105,18.283067273034348,17.46785562957553,-70.24,24.16,-57.6,56.4,-76.519,14.541,-57.0,56.0
2,799.71,-68.1458101941009,18.21145437193653,18.81231350568123,-71.54,25.3,-69.3,41.5,-81.42,9.169,-68.0,41.0
3,829.66,-200.1183481827406,25.02177741860791,24.82091118056678,-202.14,27.49,-201.9,40.1,-207.30300000000003,11.89,-201.0,40.0
4,851.32,-133.199340750547,22.79524474173786,23.05154104782693,-130.78,22.24,-149.2,43.6,-161.012,9.386000000000001,-148.0,44.0
5,913.54,-84.46200536126463,14.79542582120098,14.74335953360017,-84.29,18.44,-90.8,48.2,-95.519,8.251,-91.0,48.0
6,1131.79,3.18407016276824,27.47506410544864,27.9450429005621,2.44,26.38,6.7,39.6,-9.008000000000001,11.43,6.0,40.0
7,1170.7,18.13530566465935,23.236256893145708,23.20691128248594,18.54,22.49,4.4,57.1,8.13,11.950000000000001,4.0,57.0
8,1519.79,36.629031777888805,24.14494217230828,24.02101231562492,37.59,30.68,31.3,46.5,28.993000000000002,10.597000000000001,31.0,47.0
9,1566.7,149.45026407567423,15.855335758098988,15.96007855778538,148.72,14.54,144.6,32.9,136.451,7.242,145.0,33.0
10,1597.62,81.4577416020636,16.477263833682827,17.26262147685823,85.8,19.29,76.3,38.1,69.328,10.01,76.0,38.0
11,2569.81,130.34382529802724,41.52127731986271,42.03116173317363,129.29,41.54,127.0,45.0,93.987,21.444000000000003,126.0,45.0
12,2583.88,92.03375646539853,22.28288337103112,23.353620322055026,95.49,28.91,117.4,38.0,88.285,19.363,115.0,38.0
13,2685.7,25.347381216895613,24.61916421057241,24.447999588544437,24.62,32.8,30.5,56.4,17.843999999999998,14.233,30.0,56.0
14,2694.56,98.858802386753,20.30711405195773,18.97735856674393,91.6,27.57,102.0,42.9,80.02199999999999,12.23,102.0,43.0
15,2707.08,199.3961358646401,25.7723863443382,26.40055556635181,198.96,23.64,186.8,44.6,174.18200000000002,10.795,189.0,44.0
16,2985.24,-12.729804513941724,20.19687876423792,19.40303075833713,-15.44,20.36,-6.8,36.1,-29.951999999999998,20.69,-6.0,36.0
17,3344.74,-159.8326484636769,36.66225573205304,39.911749195051925,-148.18,55.92,-154.2,58.6,-179.608,27.804000000000002,-154.0,59.0
18,3668.0,105.7739519251839,21.03931672329112,20.864988435792498,106.83,22.29,112.8,40.1,95.64099999999999,9.474,111.0,40.0
19,3712.63,99.1761803482859,25.22368450353048,24.7853135768504,128.33,21.42,126.7,27.4,104.98599999999999,15.747,127.0,27.0
20,3770.45,81.46051958137534,7.964359652864431,8.019343220215262,81.25,8.54,77.7,15.7,63.00499999999999,12.612,78.0,16.0
21,3849.51,150.7334922531889,22.90573120921829,23.16221763151344,151.55,25.0,151.1,40.4,134.12199999999999,9.275,151.0,40.0
22,4007.84,14.000653668560656,21.31779740848401,21.513783051412204,3.42,21.89,2.1,35.0,-1.543,13.446000000000002,3.0,35.0
23,4037.19,34.60604597799175,6.732382462151229,6.708537060342472,37.74,7.34,37.1,6.6,7.5,13.018,38.0,7.0
24,4064.77,-58.14533830842949,23.69544314816671,24.14519892267264,-62.63,24.2,-65.1,33.3,-92.49199999999999,15.045,-65.0,33.0
25,4094.64,-43.35720728585869,7.219321380250548,7.247769382610642,-35.32,6.94,-32.1,6.7,-51.812999999999995,11.043000000000001,-32.0,7.0
26,4207.68,-34.30340140217264,10.042815070926494,9.994778925227664,-32.82,11.04,-34.9,10.2,-51.751,9.583,-34.0,10.0
27,4233.6,-72.1761833960516,7.313947522725542,7.377734414562767,-70.57,7.73,-70.9,12.4,-101.15100000000001,14.238999999999999,-72.0,12.0
28,4525.58,-92.89710802705774,21.1342131931206,20.785424967375903,,,,,-95.946,9.327,-87.0,18.0
29,4787.42,4.160302381960054,17.07608682639566,17.170464937832033,,,,,-31.255,11.144,-2.0,9.0
30,4828.73,29.37519765686268,8.013885236146578,8.093231942636095,,,,,7.828,9.442,32.0,5.0
31,4907.33,52.014086327010254,12.443445764239796,12.385099736452226,,,,,,,56.0,15.0
32,4922.58,64.23441444337081,8.776604826211425,8.826139046107542,,,,,,,69.0,8.0
